site_name,source_file,coordinate_text
Gua Ber,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Berak,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Leo,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Masri I,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Mentis,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Rusa,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Se,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Te,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Tintang,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Ujan,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Teng,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Ilas Kenceng,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Kambing,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Kebobo,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Pindi,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Chauvet,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Kecil,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Ham,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Harto,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Jufri,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Kao,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Keboboh,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Mardua,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Masri,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Misna,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Niah,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Payau,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Pra,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Tengkorak,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Tewet,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Unak,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Liang Kaung,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Liang Sara,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Kecabe,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Ku,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Kurang Tahu,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Mar,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Sahak,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Sedepan,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Ta,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Tamrin,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Tem,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Prasejarah,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Mo,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Gua Sammangi,Borneo_Menyingkap_gua_prasejarah.json,"3.030, 2.800"
Kimanis Cave,LiangAbu_KimanisRockshelters_Borneo.json,"1.468306, 117.287861"
Kimanis Cave,LiangAbu_KimanisRockshelters_Borneo.json,"1.505861, 117.2745"
Kimanis Cave,LiangAbu_KimanisRockshelters_Borneo.json,"17.289389, 1.472556"
Liang Abu’s,LiangAbu_KimanisRockshelters_Borneo.json,"1.468306, 117.287861"
Liang Abu’s,LiangAbu_KimanisRockshelters_Borneo.json,"1.505861, 117.2745"
Liang Abu’s,LiangAbu_KimanisRockshelters_Borneo.json,"17.289389, 1.472556"
Sangiran,SedimentaryGeologyofJava2013.json,"10.181453, -7.081330"
Sangiran,SedimentaryGeologyofJava2013.json,"10.18002, -7.11676"
Sangiran,SedimentaryGeologyofJava2013.json,"10.17885, -7.12083"
Liang Bua Homo,s41559-021-01408-0.json,"0.9995,0.0005"
Sangiran,s41559-021-01408-0.json,"0.9995,0.0005"
Leang Sakapa,LeangRakkoe_Maros_Tolean.json,"S 04° 57.580', E 119° 40.166"
Leang Sakapa,LeangRakkoe_Maros_Tolean.json,"S 05°02.410', E 119°41.489'"
Leang Sakapa,LeangRakkoe_Maros_Tolean.json,"S 05°02.551', E 119°41.268'"
Leang Bu,LeangRakkoe_Maros_Tolean.json,"S 04° 57.580', E 119° 40.166"
Leang Bu,LeangRakkoe_Maros_Tolean.json,"S 05°02.410', E 119°41.489'"
Leang Bu,LeangRakkoe_Maros_Tolean.json,"S 05°02.551', E 119°41.268'"
Leang Rakkoe,LeangRakkoe_Maros_Tolean.json,"S 04° 57.580', E 119° 40.166"
Leang Rakkoe,LeangRakkoe_Maros_Tolean.json,"S 05°02.410', E 119°41.489'"
Leang Rakkoe,LeangRakkoe_Maros_Tolean.json,"S 05°02.551', E 119°41.268'"
Gua Pasaung,StoneQuarry_Bomboro_Maros.json,"S 04° 57.652', E 119° 40.143'"
Gua Pasaung,StoneQuarry_Bomboro_Maros.json,"S05°02.661', E119°42.618"
Leang Cave,StoneQuarry_Bomboro_Maros.json,"S 04° 57.652', E 119° 40.143'"
Leang Cave,StoneQuarry_Bomboro_Maros.json,"S05°02.661', E119°42.618"
Ulu Leang Cave,StoneQuarry_Bomboro_Maros.json,"S 04° 57.652', E 119° 40.143'"
Ulu Leang Cave,StoneQuarry_Bomboro_Maros.json,"S05°02.661', E119°42.618"
Leang Bu,StoneQuarry_Bomboro_Maros.json,"S 04° 57.652', E 119° 40.143'"
Leang Bu,StoneQuarry_Bomboro_Maros.json,"S05°02.661', E119°42.618"
Leang Bulu Bettue,StoneQuarry_Bomboro_Maros.json,"S 04° 57.652', E 119° 40.143'"
Leang Bulu Bettue,StoneQuarry_Bomboro_Maros.json,"S05°02.661', E119°42.618"
Leang I,StoneQuarry_Bomboro_Maros.json,"S 04° 57.652', E 119° 40.143'"
Leang I,StoneQuarry_Bomboro_Maros.json,"S05°02.661', E119°42.618"
Leang Karassa,StoneQuarry_Bomboro_Maros.json,"S 04° 57.652', E 119° 40.143'"
Leang Karassa,StoneQuarry_Bomboro_Maros.json,"S05°02.661', E119°42.618"
Leang Karassak,StoneQuarry_Bomboro_Maros.json,"S 04° 57.652', E 119° 40.143'"
Leang Karassak,StoneQuarry_Bomboro_Maros.json,"S05°02.661', E119°42.618"
Leang Rakkoe,StoneQuarry_Bomboro_Maros.json,"S 04° 57.652', E 119° 40.143'"
Leang Rakkoe,StoneQuarry_Bomboro_Maros.json,"S05°02.661', E119°42.618"
