id;parent_id;name;start_date;end_date;color;description;sources
970000;0;Indonesia Prehistory and Protohistory (draft v1);-2580000;1950;4fbcf3;Draft chronology focused on Indonesian prehistory and protohistory. Built from user-supplied screenshots and the locally extracted PDF corpus for ArkeOpen personalization.;User screenshots in this chat | Local PDF extraction corpus in data/google-drive-text
970100;970000;Geological Epochs;-2580000;1950;8cb042;Grouping node for geological epochs used in the chronology menu.;Structured for ArkeOpen dropdown nesting
970110;970100;Pleistocene;-2580000;-11700;8cb042;The Pleistocene spans from 2.58 mya to 11.7 kya.;Screenshot: Geological epochs timeline showing Pleistocene from ~2.5 mya to ~11.7 kya
970111;970110;Early Pleistocene;-2500000;-498050;f39306;Early Pleistocene from 2.5 mya to ~498 kya.;Screenshot: Geological epochs timeline showing ~0.5 mya marker
970112;970110;Middle Pleistocene;-498050;-127050;f84c48;Middle Pleistocene from ~498 kya to ~127 kya.;Screenshot: Geological epochs timeline showing ~0.5 mya and ~129 kya markers
970113;970110;Late Pleistocene;-127050;-11700;c96fd6;Late Pleistocene from ~127 kya to 11.7 kya.;Screenshot: Geological epochs timeline showing Late Pleistocene starting at ~129 kya
970120;970100;Holocene;-11700;1950;8cb042;The Holocene begins at 11.7 kya and continues to the present.;Screenshot: “The Holocene has spanned the past 11,700 years” | Timeline screenshot with Early/Mid/Late Holocene
970121;970120;Early Holocene;-11700;-8200;6b8e23;Early Holocene from 11.7 kya to 8.2 kya.;Timeline screenshot with Early Holocene ending at ~8.2 kya
970122;970120;Mid Holocene;-8200;-4200;8fbc8f;Mid Holocene from 8.2 kya to 4.2 kya.;Timeline screenshot with Mid Holocene ending at ~4.2 kya
970123;970120;Late Holocene;-4200;1950;c8d8b8;Late Holocene from 4.2 kya onward.;Timeline screenshot with Late Holocene after ~4.2 kya
970200;970000;Archaeological Periods;-2000000;1500;5c8bc4;Grouping node for archaeological periods used in the chronology menu.;Structured for ArkeOpen dropdown nesting
970210;970200;Palaeolithic;-2000000;-4000;5c8bc4;Broad Indonesian Palaeolithic draft spanning the Pleistocene record of stone tools and archaic hominins through the terminal Pleistocene.;Timeline screenshot: appearance of stone tools in Java and Flores during the Pleistocene | Screenshot of Lower/Middle/Upper Pleistocene archaeological industries
970220;970200;Neolithic;-4000;-350;f39306;Draft Indonesian Neolithic based on a general Island Southeast Asia range of c. 4000 to 2300/2100 BP, with overlap into the earliest metal-bearing contexts.;Screenshot: “The Neolithic in ISEA ranges from c. 4000–2300/2100 BP” | Screenshot: Indonesian Neolithic traced to Austronesian-speaking people entering at ca. 4000 BP
970230;970200;Early Metal Age (Paleometallic);-550;400;f84c48;Draft Early Metal Age based on a regional onset between 2500 and 2000 cal BP and extending until the beginning of the early historical/protohistoric horizon after 400 CE.;Screenshot: “Between 2500 and 2000 cal BP … the Early Metal Phase began” | Screenshot: “Early Metal Age … items of copper/bronze dating to about 600–500 BCE … The period after 400 CE is essentially Early Historical”
970240;970200;Protohistory (Early Historical Period);400;1500;c96fd6;Draft protohistoric horizon beginning after 400 CE. The upper bound at 1500 CE is a temporary local cutoff for ArkeOpen filtering and should be revised against your regional literature review.;Screenshot: “PROTOHISTORY (EARLY HISTORICAL PERIOD) AFTER 400 CE” | Derived local cutoff for draft implementation
